batch_size,in_chan,out_chan,side_len,k_size,stride,for_energy,for_time,back_energy,back_time
426,4,12,8,7,2,13834.169999999998,439.5853599999999,27085.519999999997,831.51504
1883,5,8,51,8,1,3716858.69,113805.90051999998,5288510.119999999,132386.77586
875,14,44,14,8,2,227128.88999999998,6739.1514,228323.36000000002,6550.5314
2034,8,25,63,6,1,14260951.669999998,283412.52234,23272232.88,499686.0475999999
596,1,52,17,3,1,151078.63999999998,4099.43308,586893.05,15510.055100000001
1247,1,53,27,8,1,901285.5599999999,21154.02426,4999249.2700000005,115148.31873999999
510,3,10,51,4,2,110309.76999999999,3133.95388,344916.69,9635.23682
81,13,27,53,5,1,552928.25,13101.322960000001,933949.6300000001,22101.88652
1237,3,24,61,3,3,424945.2699999999,11578.914399999998,1022209.28,26725.79238
2037,6,34,21,6,2,290859.85,8183.54062,624013.2499999999,17220.30644
527,4,11,31,4,3,35716.48,1199.1529,148392.57,4302.564
810,13,38,27,7,1,2682191.6800000006,64465.625179999995,3106481.31,71299.85532
491,11,26,32,3,2,263658.36,7193.29646,526697.27,13718.648000000001
1632,11,15,31,4,1,2013689.3699999999,51459.489799999996,3064804.7800000003,71820.45108
745,1,44,55,8,1,2527367.78,53215.21680000001,12699449.98,272835.11548000004
821,13,7,25,8,1,860779.5899999999,22561.55026,635492.75,15353.437819999997
945,14,4,49,5,2,1285880.4899999998,30039.832059999997,1153733.06,25172.879559999998
376,9,26,48,5,3,479163.18,11934.420280000002,674073.6100000001,15724.566
687,14,8,8,3,2,18449.629999999997,722.53608,31652.139999999996,1094.1383999999998
59,7,50,15,4,3,15104.39,367.8126199999999,30475.99,874.1046199999998
1697,14,21,32,7,2,1789910.58,43644.41852000001,2260181.57,53470.285939999994
936,1,35,23,3,2,72884.94,2269.8713,340784.0,9517.04222
764,6,43,45,8,1,4547159.42,100973.78224,8028382.08,175626.57984000002
1201,13,25,16,8,2,262120.91999999998,7635.59716,329272.82,9752.10076
704,8,19,59,3,2,982322.3300000001,24871.504800000002,1558415.24,38134.75100000001
534,5,21,17,8,2,29215.700000000004,1008.8965000000001,76599.50000000001,2287.1066
1184,4,21,10,6,2,16470.89,631.9779799999999,56876.71,1768.4713
407,6,5,50,8,1,831506.6499999999,20630.58022,954669.22,21537.5397
1658,9,2,48,3,2,1433814.09,36952.64416,1454399.97,35220.64698
1716,9,19,28,4,1,1873032.3,44955.839799999994,3443507.45,78854.28358000002
2018,1,29,60,3,2,1253575.83,31334.720359999996,6018752.32,137182.1301
1180,7,29,55,6,2,1401093.2899999998,32355.72268,3572534.15,83052.32598
672,10,51,41,8,3,1388433.27,31354.112759999996,1820467.7899999998,41202.0977
888,9,23,43,8,1,5458512.68,132392.37664,7346501.5200000005,173352.70703999998
955,9,7,19,4,3,94333.3,3119.01456,102555.91,3207.00476
270,1,25,11,8,2,14685.65,341.95522,33137.09000000001,938.77392
1879,4,52,54,7,3,1426447.77,35332.792819999995,4513780.57,105606.67937999999
185,10,39,50,6,3,336016.02999999997,9025.90708,441484.49000000005,11773.43696
840,6,35,33,3,2,285340.42000000004,6983.06884,983245.85,23895.58314
1237,7,23,36,4,1,1247770.2,29095.09214,3528957.1100000003,81962.46698
